,idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
0,5081,MN,MN,27,55735,5,1,1,3,N,,2,4,41,930,930,12088,12288,2.2,9.7,1146.49919,1,0,1,AITKIN,27001,0.502054,0,0.8329091229
1,5082,MN,MN,27,55748,5,1,0,4,Y,,5,2,40,1615,1615,11888,12088,2.2,14.5,471.366223,0,0,1,AITKIN,27001,0.502054,0,0.8329091229
2,5083,MN,MN,27,55748,5,1,0,4,Y,,3,2,42,1030,1515,20288,21188,2.9,9.6,433.316718,0,0,1,AITKIN,27001,0.502054,0,1.0986122887
3,5084,MN,MN,27,56469,5,1,0,4,Y,,2,2,24,1410,1410,122987,123187,1,24.3,461.62367,0,0,1,AITKIN,27001,0.502054,0,0.0953101798
4,5085,MN,MN,27,55011,3,1,0,4,Y,,3,2,40,600,600,12888,13088,3.1,13.8,433.316718,0,0,3,ANOKA,27003,0.428565,1,1.1631508098
5,5086,MN,MN,27,55014,3,1,0,4,Y,,5,2,22,900,1300,120287,121187,2.5,12.8,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.955511445
6,5087,MN,MN,27,55014,3,1,0,4,Y,,5,2,28,2000,2025,121887,122087,1.5,14.5,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.4700036292
7,5088,MN,MN,27,55014,3,1,0,2,Y,,3,2,33,800,1000,122587,122787,1,18,433.316718,0,0,3,ANOKA,27003,0.428565,1,0.0953101798
8,5089,MN,MN,27,55014,3,1,0,4,Y,,3,2,36,1000,1730,10188,10188,0.7,25.1,433.316718,0,0,3,ANOKA,27003,0.428565,1,-0.2231435513
9,5090,MN,MN,27,55014,3,1,0,4,Y,,2,2,44,900,900,20288,20288,1.2,17.5,461.62367,0,0,3,ANOKA,27003,0.428565,1,0.2623642645
10,5091,MN,MN,27,55014,3,1,0,4,Y,,2,2,47,1040,1040,20288,20288,1.2,20.2,461.62367,0,0,3,ANOKA,27003,0.428565,1,0.2623642645
11,5092,MN,MN,27,55014,3,1,0,4,Y,,5,2,4,610,610,22988,30388,1.3,23.3,471.366223,0,0,3,ANOKA,27003,0.428565,1,0.3364722366
12,5093,MN,MN,27,55014,3,1,0,4,Y,,4,2,3,1130,1221,30388,31088,1.4,18.7,461.274696,0,0,3,ANOKA,27003,0.428565,1,0.4054651081
